True DengRate_all,Predicted DengRate_all,True DengRate_019,Predicted DengRate_019,MAE (DengRate_all),MAE (DengRate_019)
0.032627563173919995,0.035181887,0.031062291876074555,0.03223409,0.00255432427391402,0.001171799435618636
0.028203486811354574,0.025340185,0.03643845777770285,0.025206981,0.002863302241995748,0.011231476550900975
0.020461353176865083,0.019705169,0.020309960072817983,0.0203536,0.0007561842739910903,4.364030998688789e-05
0.008184541270746033,0.033185955,0.007765572969018639,0.035939705,0.025001413866268356,0.028174131657779992
0.00503238686241817,0.025785012,0.006371752179707603,0.027728844,0.020752625308254245,0.0213570922543153
0.003594562044584407,0.02261389,0.005376165901628289,0.02540937,0.01901932842448984,0.020033204759153572
0.002433241999410983,0.012730906,0.0023894070673903508,0.014955267,0.01029766378674567,0.012565860242752167
0.0027097467720713225,0.00736486,0.002787641578622076,0.007987339,0.004655113032439748,0.005199697470955637
0.0028756496356675256,0.008146156,0.0029867588342379387,0.00870873,0.005270505989914216,0.005721971505766029
0.0020461353176865083,0.017118184,0.002787641578622076,0.018035922,0.01507204857825904,0.01524828062086561
0.0047005811352257626,0.018485421,0.004977931390396565,0.019175055,0.013784840179609785,0.014197123115070851
0.008571647952470509,0.017564368,0.00935851101394554,0.017603796,0.008992719550457271,0.00824528496150116
0.005474794498674712,0.030581681,0.006371752179707603,0.028489284,0.025106886559136073,0.02211753203765003
0.004147571589905085,0.024132933,0.004579696879164839,0.023934782,0.019985361877721486,0.019355084672196245
0.0030415524992637288,0.01826091,0.0017920553005427633,0.018817931,0.015219356745154415,0.017025876113107748
0.003483960135520271,0.020964663,0.0037832278567013888,0.022843195,0.017480703340231607,0.019059967268759234
0.0032627563173919997,0.023287239,0.0023894070673903508,0.026306335,0.02002448223577439,0.023916927815584275
0.0013272229087696271,0.015421579,0.0023894070673903508,0.018702086,0.014094355751837711,0.016312678993848893
0.0014931257723658307,0.009281777,0.002190289811774488,0.010842733,0.007788651073089339,0.008652443273381
0.001382523863301695,0.002150815,0.002190289811774488,0.0029761419,0.0007682911169667834,0.000785852058247332
0.0011613200451734236,0.0038269535,0.0015929380449269006,0.0042221323,0.002665633425533516,0.002629194220640879
0.002101436272218576,0.019022718,0.003982345112317252,0.020018116,0.016921281799718985,0.016035770527369334
0.0015484267268978983,0.020179458,0.0033849933454696635,0.020762451,0.018631031235615072,0.017377457647591403
0.0014378248178337628,0.01659909,0.002190289811774488,0.016622266,0.015161265952053207,0.014431975989059214
0.0021567372267506436,0.023489095,0.001393820789311038,0.022977185,0.021332358043883053,0.021583363714959516
0.0027097467720713225,0.026542889,0.002787641578622076,0.026411477,0.023833142182210484,0.02362383589773634
0.0030968534537957966,0.031229913,0.0037832278567013888,0.03226974,0.028133059780914897,0.028486510757857783
0.004811183044289898,0.02499494,0.006371752179707603,0.027165757,0.02018375652136867,0.020794005312477035
0.003483960135520271,0.029047526,0.004380579623548976,0.032458697,0.02556356628364248,0.028078116890819082
0.0053088916350785085,0.024305286,0.005177048646012427,0.026025593,0.018996394250851555,0.02084854463477981
0.007520929816361221,0.009163842,0.0073673384577869145,0.010584842,0.0016429117888252416,0.0032175039558769497
0.003152154408327864,0.0017663129,0.003982345112317252,0.0024665892,0.0013858415409248336,0.0015157558998996493
0.0016037276814299662,0.012654023,0.0017920553005427633,0.013210755,0.011050295563547032,0.011418699541023323
0.0037604649081806104,0.014182406,0.0029867588342379387,0.015183546,0.010421940638126953,0.012196786814813728
0.007189124089168814,0.019339543,0.006371752179707603,0.020064702,0.012150418746782039,0.013692950077806397
0.01006477372483634,0.017382227,0.01095144905887244,0.01773747,0.0073174531595287425,0.00678602150835397
0.03486454652532391,0.051163815,0.028153955808980755,0.043834906,0.016299268436586335,0.01568095026244373
0.026737338044758537,0.052257795,0.018531717747683536,0.04722419,0.025520456842068932,0.02869247233844279
0.025323910482921083,0.02995354,0.02601568068424804,0.027951673,0.004629628888569395,0.0019359919889773633
0.016136631330977622,0.059927557,0.01674982181040627,0.062032264,0.04379092533277398,0.04528244191558975
0.011542991755005888,0.036016576,0.013542409123307198,0.036051463,0.024473584237101505,0.02250905421244529
0.007067137809187278,0.033788063,0.004989308624376336,0.03485677,0.026720924822896615,0.02986746156324001
0.006595995288574794,0.016994808,0.007840342124019958,0.016928755,0.010398812580621145,0.009088412622893952
0.005653710247349823,0.024175212,0.0035637918745545258,0.022679228,0.018521501539873992,0.019115436461064447
0.004711425206124852,0.026660122,0.0035637918745545258,0.025182141,0.021948696771204403,0.021618349116537202
0.0143698468786808,0.03099324,0.013898788310762652,0.02911914,0.01662339307543316,0.01522035122645258
0.026266195524146056,0.039541036,0.021026372059871703,0.036500543,0.013274840366433168,0.01547417129607007
0.03992932862190812,0.03817531,0.03100498930862438,0.034797985,0.0017540176823577225,0.0037929957980822396
0.056537102473498226,0.0537495,0.047754811119030655,0.0461264,0.002787600768328548,0.0016284119297968747
0.04817432273262662,0.072311595,0.043834640057020674,0.066833526,0.024137272349656402,0.022998885839051714
0.04570082449941107,0.13045308,0.05274411974340698,0.13072276,0.08475225543947748,0.07797864141076782
0.035453474676089516,0.06623228,0.03243050605844618,0.06831199,0.030778804266972312,0.03588148324895738
0.03780918727915194,0.050679553,0.034212401995723445,0.053336583,0.01287036602099035,0.019124181082184118
0.02167255594817432,0.036245722,0.019957234497505343,0.03814136,0.014573166375481762,0.018184124146264875
0.025088339222614837,0.026411023,0.021026372059871703,0.026588004,0.0013226837683271639,0.005561632022569627
0.02426383981154299,0.025336087,0.022451888809693513,0.024152922,0.0010722469384875262,0.0017010327030294557
