Department,MAE (DengRate_all) Val,RMSE (DengRate_all) Val,MAPE (DengRate_all) Val,R2 (DengRate_all) Val,MSE (DengRate_all) Val,MAE (DengRate_all) Train,RMSE (DengRate_all) Train,MAPE (DengRate_all) Train,R2 (DengRate_all) Train,MSE (DengRate_all) Train,MAE (DengRate_019) Val,RMSE (DengRate_019) Val,MAPE (DengRate_019) Val,R2 (DengRate_019) Val,MSE (DengRate_019) Val,MAE (DengRate_019) Train,RMSE (DengRate_019) Train,MAPE (DengRate_019) Train,R2 (DengRate_019) Train,MSE (DengRate_019) Train
Rondônia,4.937839578722903,7.3902406915741805,1.711863930854737,0.15697625556889971,54.61565747939883,7.181240977998936,13.445566606836831,0.7739772727272121,0.2678159413994492,180.78326137888567,4.539127708323671,6.529996747524263,1.8562324159014447,-0.006120937403624627,42.64085752267745,5.89066979831534,9.709369901675004,1.3688527604257719,0.09729853374960229,94.27186388755246
Acre,35.16090594243662,61.90901673590788,0.5262430978052061,0.4100067589442642,3832.7263532069223,13.52132313222799,24.255770854107926,0.7672198932862935,0.4818176127209819,588.3424197269916,25.738813207393186,50.490363219341646,0.5469786567409533,0.09466430673017456,2549.276778021048,9.480314784460823,15.343687688215782,1.4598663367323457,0.5722732822261078,235.42875187350455
Amazonas,5.879530359819337,8.152592872532423,1.2457771697654692,-0.29499538585608653,66.46477054526646,32.799589707720564,53.18191651943635,0.6008465923237254,0.8330937535973921,2828.316244680297,5.676429854972443,7.626000120158016,1.7251586938413654,-0.8059031670459229,58.15587783265008,24.55047098606572,40.20802152823031,0.8647837077662758,0.8541076720206381,1616.684995214632
Roraima,7.128343859090364,11.983386372208038,595738867153126.1,0.6445697652117612,143.60154894562132,10.929511647397872,19.325820428568292,0.5656407118426696,0.7035542088079871,373.4873352372675,8.023260523696417,15.649531738476112,2078487444135026.8,0.5157073193300643,244.90784363357113,8.141101480410285,12.150410392102879,0.6418783826894621,0.7661539357927657,147.63247269652163
Pará,3.888646341651558,6.230272338828116,0.6963293592271114,-0.056795633728849326,38.81629341596677,8.323361641252088,14.640239473157868,0.45673402110388356,0.7990143347742735,214.33661183140978,3.6857910848771334,5.219317749696798,1.0400053886708043,-0.002071703983122175,27.241277772300048,6.026719207627547,9.832479113677904,0.48486756250766394,0.8385671972384158,96.67764552091222
Amapá,4.353142476394856,6.240306914000479,1.1935252839213781,0.3152015636360769,38.941430380922185,12.327267016217867,35.20402786677355,0.829788574856926,0.5698220436981807,1239.3235780445689,4.214056167690427,5.689578020204179,1.5962155286297446,-0.2870317544506997,32.3712980479905,8.969361240664703,18.949236221704815,2.1751897423149535,0.6089002761491158,359.0735533859698
Tocantins,12.124878730011828,19.25813857626717,0.4467381022163932,0.8881570165672612,370.8759014227097,19.77053933915424,49.10888553043492,2386564434187611.0,-1.1138672505681733,2411.6826380413604,13.054531959413215,20.784117467826825,0.5776029133768233,0.8529041279210058,431.97953891642413,19.559585803079663,50.72005934189202,4124331406903074.5,-7.676054233258391,2572.5244196450476
Maranhão,3.2135580989836483,4.0278625013839715,1.165208088881957,0.6253308008929025,16.22367633005514,57.48709842758545,111.65647208126882,0.3789011715972113,0.8462494688784086,12467.167757635163,3.427783372541594,4.289840764891407,1.2339597633140094,0.5235621667433267,18.402733788124088,35.8370640096189,64.71600179819558,0.40401416982839944,0.9022229747725881,4188.160888744053
Piauí,5.290510886137246,8.958794635644185,0.48141663709535326,0.6917961004552107,80.26000132364702,29.128109637093573,62.93080269856733,1.0045546355889166,0.9163044298383101,3960.285928286009,4.5628742835110305,7.691336912667267,0.7779615100021622,0.7436037935761306,59.15666350415805,19.653485082936033,32.99574454925865,1.4442762039411952,0.9510540259781011,1088.719158359932
Ceará,11.90010342571428,15.568419676079175,2.103900803195062,0.7355827056036912,242.37569121052923,43.299676611210415,104.64591252294673,1.1854900919046658,0.8387174997139051,10950.767007760218,9.903687504725015,12.663648852603277,2.3956249377499854,0.7212810736496129,160.3680022620403,32.90170703229833,82.53094921093502,1.120068111957527,0.8502462267445519,6811.357577657936
Rio Grande do Norte,18.426932577392872,27.552215297664844,0.41375788661572915,0.7612870551324666,759.1245678088767,5.134837784549357,6.152573322524605,2.24133107309754,0.01251612129508095,37.85415848904145,23.19236989144757,34.163514843278655,0.41642705976120314,0.6002496769436815,1167.1457464469208,4.598678784693708,5.220347342996275,2.89081326006371,-0.36176934259309346,27.252026381528268
Paraíba,8.650157106586008,13.111873333694163,0.3722138864731381,0.743851663672528,171.9212223188401,7.428136975719586,10.227456410743494,9.92521747124085,-20.001852183172296,104.60086463365819,8.007716723245847,12.01804533302456,0.3335729652494665,0.8686581207582478,144.4334136266334,6.526299581269445,8.716514325161706,1147511585752869.2,-5.558352768063599,75.97762198074923
Pernambuco,10.614268434368265,14.381649473747093,0.9891175477425121,0.4727526993097666,206.83184158573002,7.797789345756019,10.128094660438228,1.1938683617812256,0.4316267195374133,102.57830145079733,9.035087846486293,12.799050101428781,0.6598853553829628,0.7216978957442808,163.8156834988841,10.016415532648447,15.199696308682004,1.396697934204964,0.3592962937325703,231.03076787616132
Alagoas,5.786845560275983,9.775184605359591,0.559433861812449,0.934777121401166,95.55423406885916,18.853537176659522,34.69874192668632,0.4248873032420503,0.9361541048925817,1204.0026912947787,5.6217769313236845,7.962734108656678,0.6690427698986927,0.9595286767313762,63.40513448516445,19.73042559599528,44.42509412564036,0.4982393262664606,0.8794745709177265,1973.588988072006
Sergipe,7.739021305142444,12.6545767709455,3.3002871654708184,0.5028520232987272,160.13831325175343,13.260964502486965,21.21192275254676,1.211573883531178,-2.6396270039709675,449.94566686001093,12.2073297440699,25.942206796980017,3.536735371724312,0.2612491285734839,672.9980934972762,10.929791517540721,17.60570747875285,1.4625769993572013,-3.124413594943346,309.96093582741406
Bahia,6.362314181127783,9.70965535469698,0.5131052342837386,0.81952627594748,94.27740710699574,17.8633921258549,46.64493410598716,0.4491325041482517,0.6255979314249027,2175.749877751884,7.432802294938416,11.497275511078184,0.6134488422013442,0.7388089263901996,132.18734417763812,9.065432198238154,19.27975580082561,0.7962917406665732,0.8248168491378031,371.70898373946864
Minas Gerais,17.90511802839626,31.336026489166755,0.9652744323782705,0.9699771741489711,981.9465561297607,13.653332465047246,25.220299320103333,0.9355848930414946,0.374036958849039,636.0634977956047,13.89776171524634,25.454809149159416,0.8685372078723048,0.971204001780208,647.9473088201299,8.875596698375848,15.582363930319396,1.1392367089016717,0.45286445420306054,242.81006565691894
Espírito Santo,11.99685430020512,16.3203059391117,0.406115072184449,0.9693506024150258,266.3523859462047,29.602175262992205,39.45343625508041,0.36825919434548826,0.7816353055501624,1556.5736323336932,11.242814525860869,14.706551397001842,0.36437929239176403,0.9582134139599915,216.28265399265686,18.020376279696315,25.329925112817698,0.306938366070433,0.8617692840458469,641.6051062209526
Rio de Janeiro,6.625726976305978,10.363986471627891,0.8936396829302229,0.3185086325513421,107.41221558408593,12.884965337843635,15.942967038347936,0.48153471301970796,-0.3921333077734934,254.17819798584873,5.139022547932463,7.7588896524438535,0.8998802841046339,0.27867650883567796,60.200368638800306,7.236035753535546,9.851381938341301,0.4007775655105792,0.15852329784263908,97.04972609507722
São Paulo,11.262048010550293,24.551521666453603,1.5833721763163706,0.8784580197269101,602.7772161383407,6.618476797396975,8.756591153645152,0.6296317698879812,0.3802508947185107,76.67788863209654,8.210910436079619,16.61335838680382,1.820890189579752,0.892241420064605,276.0036768883848,5.164621291855644,6.951329272286386,0.7864557677910153,0.4076778461886782,48.32097865174558
Paraná,7.715079513727834,12.534392741601403,2.9988774848022337,0.7702393181276761,157.11100140070994,6.477941164958109,10.549760723153609,0.5588077205570948,-0.25699363148448784,111.29745131579455,5.804412820136584,8.252414829942099,3.331028647253426,0.8178526488180966,68.10235052544829,4.8298983049542485,6.974196613673411,0.9319825241250267,-0.052601453538116294,48.63941840617367
Santa Catarina,4.328821272672061,4.456029810762358,20.377718519376835,-2.4179705022078855,19.856201674402815,6.421571645085275,9.03822222792454,0.5872580467242527,-0.40891484603893846,81.68946104134926,4.410760978184934,4.518788685442413,35.004530426638006,-7.556950789646969,20.41945118368237,4.6968190225149336,6.675942554189207,0.6790612504501633,-0.12688840080667996,44.56820898683431
