Department,MAE (DengRate_all) Val,RMSE (DengRate_all) Val,MAPE (DengRate_all) Val,R2 (DengRate_all) Val,MSE (DengRate_all) Val,MAE (DengRate_019) Val,RMSE (DengRate_019) Val,MAPE (DengRate_019) Val,R2 (DengRate_019) Val,MSE (DengRate_019) Val,MAE (DengRate_all) Train,RMSE (DengRate_all) Train,MAPE (DengRate_all) Train,R2 (DengRate_all) Train,MSE (DengRate_all) Train,MAE (DengRate_019) Train,RMSE (DengRate_019) Train,MAPE (DengRate_019) Train,R2 (DengRate_019) Train,MSE (DengRate_019) Train
Rio Grande do Norte,,,,,,,,,,,0.019759829851709654,0.030015972516171587,0.41874163111566537,0.8450856137732585,0.000900958606091568,0.009858351069744803,0.015486710730177872,0.38264682546652135,0.8953671178197449,0.00023983820924020646
Paraíba,,,,,,,,,,,0.009131676739117802,0.015155453857079367,0.8312189352840988,-0.24553619276651384,0.00022968778161406187,0.009801498912292442,0.014646206844788328,1.429484806364373,-0.058998891821420374,0.0002145113749403245
Pernambuco,,,,,,,,,,,0.0034365341969759544,0.0052479785535661,1.299995199138923,0.5932870251245206,2.754127889868973e-05,0.004583318673383141,0.005414792183277173,4.0863455486197395,0.6313469575534185,2.9319974388079572e-05
Alagoas,,,,,,,,,,,0.0178024666833962,0.024091077192803647,0.4281506294689484,0.6461944615299119,0.0005803800003096241,0.012271348692845187,0.017539875252727717,0.3280527190887587,0.7562115106550907,0.0003076472238812502
Sergipe,,,,,,,,,,,0.009118841619583389,0.012668208422906543,1.1411057923175425,0.47696759154810897,0.0001604835046462003,0.009076130884830887,0.011519353713276744,2.3840289577121827,0.5025240141214952,0.0001326955099715827
Bahia,,,,,,,,,,,0.004725207339708924,0.01226712083690643,0.8331186287529716,0.2610204819083982,0.00015048225362726393,0.006594851620493783,0.012692222685237281,11.107876976780853,0.36582143566097713,0.00016109251669165186
Minas Gerais,,,,,,,,,,,0.0002645662751231922,0.000629885726812579,197775256237.25064,-72.25080064079462,3.967560288422109e-07,0.0026915212705667727,0.0035231189158902543,346736645491.12006,-793.3805068435806,1.2412366895503722e-05
Espírito Santo,,,,,,,,,,,0.0004751710837607925,0.0009641226176977886,276651704321.9246,-0.8874010018833807,9.295324219564362e-07,0.003208232908842798,0.003986472586368901,48.98882311520742,-14.71071860563175,1.5891963681870757e-05
Rio de Janeiro,,,,,,,,,,,0.006741344642024764,0.011228258097076421,0.4027486086087266,0.701902972820941,0.00012607377989456222,0.006852484815871573,0.010287989965800722,0.3739884028162865,0.7309273901501225,0.00010584273753641632
São Paulo,,,,,,,,,,,0.018564743941024333,0.025610328217886585,0.5607354070836763,0.842520180414229,0.0006558889114278778,0.01628053028864511,0.024584568266826912,0.5781088066118545,0.8455893022262267,0.0006044009968662729
Paraná,,,,,,,,,,,0.01674575890437965,0.027144470958875108,0.7058470763270149,-0.329219455357908,0.000736822303637214,0.014137668815156294,0.024050319688488947,0.6000614773885942,-0.06728959572712356,0.000578417877118519
Santa Catarina,,,,,,,,,,,0.002572046209833196,0.0028620505016750198,1751801615703.9968,-0.76884036169901,8.191333074138233e-06,0.005731309816169341,0.006086510090093752,9.208335276302284,-3.8690311326366196,3.704560507681305e-05
Rio Grande do Sul,,,,,,,,,,,0.024799068192722425,0.04851544621321007,0.6261457880236954,0.8267168183764556,0.0023537485212668796,0.015639568939876457,0.028609185602577934,0.5188457135487795,0.883372063886159,0.0008184855008427526
Mato Grosso do Sul,,,,,,,,,,,0.004251994318200652,0.005573163538406502,0.35677683585756376,0.0007153835864853741,3.106015182582367e-05,0.004360497418855722,0.00531382567197175,0.612369663081732,0.15287923185966823,2.8236743272106022e-05
Mato Grosso,,,,,,,,,,,0.00912758490190927,0.014583549011748362,0.4713521820439994,0.024377312959958153,0.00021267990177806665,0.01153819651833402,0.019634329084063835,0.39518364732494843,0.08886285687942563,0.000385506878581315
Goiás,,,,,,,,,,,0.017353460444018153,0.022106895047337236,0.5671541971138996,0.3430778361673249,0.0004887148086339836,0.013028273891391997,0.017008793590758617,0.5435671604571567,0.5092337307645949,0.0002892990594130314
Distrito Federal,,,,,,,,,,,0.0022753715925779463,0.003188305643863569,0.6319020909762026,0.4414563385435404,1.0165292878692286e-05,0.0035460449552167594,0.004265777046401751,1.4619688058148623,0.1857840180013478,1.8196853809608047e-05
