Department,MAE (DengRate_all) Val,RMSE (DengRate_all) Val,MAPE (DengRate_all) Val,R2 (DengRate_all) Val,MSE (DengRate_all) Val,MAE (DengRate_019) Val,RMSE (DengRate_019) Val,MAPE (DengRate_019) Val,R2 (DengRate_019) Val,MSE (DengRate_019) Val
Rondônia,10.513486397403513,11.76488043605902,3.961683964998059,-20.101478755899407,138.4124116747643,9.23902214122145,10.144511409086991,3.984390807018073,-26.80551024875816,102.91111172909613
Acre,43.38762642918933,66.8728689254834,0.43458829633592866,0.4161279989645793,4471.980598324883,31.39366319570082,50.94396295276577,0.41990806815705284,0.20030614842922578,2595.2873613327715
Amazonas,6.858072558514537,7.434526759556646,1.7937262189616823,0.12405087711347396,55.27218813856385,7.01070772310074,7.353626568829163,2.4682404399204114,-0.4302034768008589,54.07582371379016
Roraima,11.499098070711264,15.076985285343985,2368431082263901.5,0.5969964840260926,227.31548529447903,11.483674261128725,19.377556222371375,4121386729603075.5,0.47180876305968156,375.48968515116354
Pará,4.4957850235920755,4.857629906363985,1.4425004079820989,-1.4555578484990708,23.596568307201775,4.452078478465535,4.852491183696072,1.8444614485172695,-1.9286843852960667,23.54667068784811
Amapá,8.13033970046891,9.12189982700067,2.9451972361936583,-1.9128429925844945,83.20905645383483,8.037856171723435,8.578322358136651,3.161736526447438,-5.772013488076213,73.58761448010715
Tocantins,13.543717046068275,21.088362905809866,0.7529102649787299,0.9019337058278334,444.7190500471376,16.108145830299225,24.007226041395363,0.8572847897745959,0.8576975809823811,576.3469022026517
Maranhão,6.046646660203667,6.607892409994199,2.7858094172840873,-0.8814656794519866,43.66424210205895,5.183963905798255,5.699838600600278,2.5140513569026144,-0.11323409165817622,32.48816007289293
Piauí,5.924524162053184,6.33577153511758,1.3395818222313973,0.8666321670626481,40.14200094520617,5.79869459893274,6.193199634047375,2.0029444649880346,0.8752149133693401,38.35572170716454
Ceará,11.20501544329106,13.483031729233526,2.8331712887109326,-0.6029728924106781,181.79214461151798,9.764561764583013,11.959171100629074,3.2038933439152544,-1.0169172019058408,143.02177341412164
Rio Grande do Norte,20.113359036608696,30.4326774465808,0.2704195303365548,0.7552814496959375,926.1478565676276,28.332657625570533,38.54473016897011,0.34785738432847335,0.5547787234313497,1485.6962237987148
Paraíba,8.205858713669473,12.168256899048806,0.2910952468595469,0.8155944502164487,148.06647596124887,8.075906767252427,12.347307913466603,0.23252860380937465,0.8847073144478753,152.456012709955
Pernambuco,9.020910791588074,13.275249542318592,0.5930808536074988,0.6475859890950204,176.23225041083,8.85004928366447,13.06973722170399,0.34840388650592985,0.7667897147276587,170.81803104439473
