iter	MultiRMSE
0	0.1110994171
1	0.111016144
2	0.1109344589
3	0.1108497478
4	0.1107686139
5	0.110689657
6	0.1106073585
7	0.1105213905
8	0.110432508
9	0.1103505519
10	0.1102662856
11	0.1101807803
12	0.1100925552
13	0.1100057631
14	0.1099282383
15	0.1098487157
16	0.109764386
17	0.1096770715
18	0.1095890473
19	0.1095060526
20	0.109419417
21	0.1093394513
22	0.1092555317
23	0.1091703775
24	0.1090862634
25	0.1090037094
26	0.1089254769
27	0.108843294
28	0.1087575307
29	0.1086737978
30	0.108591019
31	0.1085119354
32	0.1084280699
33	0.1083483108
34	0.1082643323
35	0.1081792323
36	0.1080957683
37	0.108011788
38	0.1079264489
39	0.1078477317
40	0.1077675291
41	0.1076917664
42	0.1076072688
43	0.1075255839
44	0.1074419716
45	0.107364517
46	0.1072852858
47	0.1072072106
48	0.1071247164
49	0.1070466705
50	0.106967192
51	0.1068850326
52	0.1068073321
53	0.1067325755
54	0.1066506951
55	0.1065727889
56	0.1064950027
57	0.1064145793
58	0.1063360287
59	0.1062553158
60	0.1061787503
61	0.1060984602
62	0.1060187056
63	0.105943723
64	0.1058604165
65	0.1057799862
66	0.1057061778
67	0.105623224
68	0.1055448838
69	0.1054655332
70	0.1053900442
71	0.1053105064
72	0.1052326373
73	0.105152362
74	0.1050751592
75	0.1049949322
76	0.104914459
77	0.1048362669
78	0.1047558062
79	0.1046757059
80	0.10459813
81	0.1045234735
82	0.1044460806
83	0.1043645792
84	0.104288203
85	0.1042087764
86	0.1041418469
87	0.1040671
88	0.1039863544
89	0.1039040943
90	0.1038221997
91	0.1037539024
92	0.1036780754
93	0.1036041197
94	0.1035271691
95	0.1034520357
96	0.1033733536
97	0.1033000936
98	0.103221666
99	0.1031492124
100	0.1030760264
101	0.1029946739
102	0.102914538
103	0.102836727
104	0.1027570784
105	0.1026750401
106	0.1026005275
107	0.1025256434
108	0.1024459586
109	0.1023678379
110	0.1022885128
111	0.1022112453
112	0.102138191
113	0.1020623766
114	0.1019887466
115	0.1019155481
116	0.1018399396
117	0.1017643116
118	0.1016860161
119	0.1016115767
120	0.1015349944
121	0.1014573136
122	0.1013785218
123	0.1013076822
124	0.1012349184
125	0.1011584314
126	0.1010820228
127	0.1010049891
128	0.1009348162
129	0.1008629017
130	0.1007884184
131	0.1007129566
132	0.1006443003
133	0.1005723312
134	0.1004976884
135	0.1004257473
136	0.1003535857
137	0.1002791187
138	0.1002090564
139	0.1001334964
140	0.1000567669
141	0.09998007219
142	0.09990736872
143	0.0998346426
144	0.09976357611
145	0.09969203805
146	0.09961700356
147	0.0995471912
148	0.09947322445
149	0.0993991145
150	0.09932584858
151	0.09925375112
152	0.09918398247
153	0.09911385172
154	0.09904425014
155	0.0989691133
156	0.09889242079
157	0.09882059314
158	0.09874683685
159	0.09867575003
160	0.09860288337
161	0.09852865091
162	0.09845676901
163	0.09839265449
164	0.09832308217
165	0.09825147779
166	0.09817848279
167	0.09810409876
168	0.09802953749
169	0.097955112
170	0.09788090351
171	0.09780954194
172	0.09773574706
173	0.09766068989
174	0.0975893548
175	0.09751607422
176	0.09744192887
177	0.0973688604
178	0.09729821305
179	0.09722749304
180	0.09715823015
181	0.09708791463
182	0.09701655572
183	0.09694527825
184	0.09687616491
185	0.09680489142
186	0.09673487735
187	0.09666724085
188	0.09659927672
189	0.09653147987
190	0.09645747421
191	0.0963904449
192	0.09631801061
193	0.09624854624
194	0.09617599446
195	0.0961054098
196	0.09603417348
197	0.09596174358
198	0.0958926792
199	0.09582708988
200	0.09575537292
201	0.09568881117
202	0.09561757499
203	0.09554936697
204	0.09547643089
205	0.09540506289
206	0.0953368954
207	0.09526946238
208	0.09520457401
209	0.0951362072
210	0.09506740893
211	0.09500173817
212	0.09493130983
213	0.09486192816
214	0.09479700098
215	0.0947261826
216	0.09465412864
217	0.09458249568
218	0.0945145532
219	0.0944458253
220	0.09437406202
221	0.09430273921
222	0.09423235557
223	0.0941663448
224	0.09409746056
225	0.09402668454
226	0.09395700561
227	0.09388788473
228	0.09382066181
229	0.09375606395
230	0.09369218561
231	0.09362151821
232	0.09355138198
233	0.09348512856
234	0.09341831694
235	0.09334975077
236	0.09328074412
237	0.09321657027
238	0.0931503321
239	0.09307941192
240	0.09301120159
241	0.09294377382
242	0.0928746491
243	0.09280511007
244	0.09273713057
245	0.09266956205
246	0.09260702794
247	0.09253930951
248	0.09247409845
249	0.09240697565
250	0.09233871617
251	0.09227079985
252	0.09220335747
253	0.09213884525
254	0.09207879365
255	0.09201317136
256	0.09194804877
257	0.09188039972
258	0.09182039957
259	0.09175437174
260	0.09168540791
261	0.09161800358
262	0.09155463332
263	0.09148750285
264	0.09142333521
265	0.09135577998
266	0.09129023928
267	0.09122499726
268	0.09116113988
269	0.09109190264
270	0.09102374348
271	0.0909627777
272	0.09089739747
273	0.09082945458
274	0.09076832184
275	0.09070586431
276	0.09063947107
277	0.09057050626
278	0.09050373629
279	0.09043706254
280	0.09037058784
281	0.09030356974
282	0.09023923617
283	0.09017778264
284	0.09011641279
285	0.09004956931
286	0.08998496827
287	0.08991970075
288	0.08985350384
289	0.08978935934
290	0.08972413231
291	0.08966146022
292	0.08959527446
293	0.08953273682
294	0.0894713594
295	0.08940527068
296	0.08934428468
297	0.08928246566
298	0.08922046028
299	0.08915570082
300	0.08909373337
301	0.0890326138
302	0.08896833752
303	0.08890878848
304	0.08884564139
305	0.08878118296
306	0.08871979055
307	0.0886570042
308	0.08859516323
309	0.08853246309
310	0.08846546466
311	0.08840538028
312	0.08834407863
313	0.08827965495
314	0.08822026187
315	0.08815756056
316	0.08809259179
317	0.08802798953
318	0.08796310957
319	0.08790199208
320	0.08784140573
321	0.08777882193
322	0.08771848782
323	0.08765852963
324	0.08759774912
325	0.0875370916
326	0.08748042623
327	0.08741785489
328	0.08735507897
329	0.08729510787
330	0.08723668935
331	0.08717387538
332	0.08711046348
333	0.08705147888
334	0.08698971419
335	0.08693366645
336	0.08687325237
337	0.08681203077
338	0.08675096264
339	0.08668887212
340	0.08662876743
341	0.08657012251
342	0.08650702694
343	0.08644803631
344	0.08638492915
345	0.08632497738
346	0.08626425518
347	0.08620376427
348	0.086142038
349	0.08607752972
350	0.08601971532
351	0.08595911589
352	0.08590030211
353	0.08584053428
354	0.08577981727
355	0.08571906326
356	0.08566095875
357	0.08560435945
358	0.08554538877
359	0.08548174091
360	0.08542337399
361	0.08536095609
362	0.08530186353
363	0.08523888155
364	0.08517798522
365	0.08511645683
366	0.08506021048
367	0.08499803518
368	0.08493693626
369	0.08487748773
370	0.08481670513
371	0.08475949488
372	0.08469958022
373	0.08463745963
374	0.0845786421
375	0.08452175683
376	0.08446281272
377	0.08440517363
378	0.08435026699
379	0.08429341152
380	0.08423551517
381	0.0841753745
382	0.08411474913
383	0.0840539166
384	0.08399641175
385	0.08393842831
386	0.08387895945
387	0.08381968465
388	0.08375960886
389	0.08370107633
390	0.08364039463
391	0.08358095286
392	0.08352647819
393	0.08346657337
394	0.0834106874
395	0.08334942399
396	0.08329248794
397	0.08323573863
398	0.08317580262
399	0.08312006208
400	0.08306160903
401	0.08300675145
402	0.08295191169
403	0.08289696017
404	0.08283875854
405	0.08278235971
406	0.08272459429
407	0.08267276039
408	0.08261754456
409	0.08256246601
410	0.08250463333
411	0.08244638997
412	0.08238798663
413	0.08233055429
414	0.08227357991
415	0.08221520329
416	0.08215932286
417	0.08209979082
418	0.08204389342
