Department,MAE (DengRate_all) Val,RMSE (DengRate_all) Val,MAPE (DengRate_all) Val,R2 (DengRate_all) Val,MSE (DengRate_all) Val,MAE (DengRate_019) Val,RMSE (DengRate_019) Val,MAPE (DengRate_019) Val,R2 (DengRate_019) Val,MSE (DengRate_019) Val,MAE (DengRate_all) Train,RMSE (DengRate_all) Train,MAPE (DengRate_all) Train,R2 (DengRate_all) Train,MSE (DengRate_all) Train,MAE (DengRate_019) Train,RMSE (DengRate_019) Train,MAPE (DengRate_019) Train,R2 (DengRate_019) Train,MSE (DengRate_019) Train
Rio Grande do Norte,,,,,,,,,,,0.01973254972573898,0.030337038510438005,0.4131685785563448,0.8417538042569559,0.0009203359055837985,0.009818225506961995,0.015519791605431644,0.3617534680230429,0.8949196316823599,0.0002408639314760265
Paraíba,,,,,,,,,,,0.00919315793934493,0.015177931600655847,0.8413851882295816,-0.24923355546073234,0.00023036960767418733,0.00982029492270099,0.01465372583704643,1.416922854528889,-0.06008649743197125,0.00021473168090732208
Pernambuco,,,,,,,,,,,0.0033623365182560306,0.0051089832187310455,1.3672638859593216,0.6145457162306173,2.6101709529275438e-05,0.004568202401895017,0.005369586684819482,4.130120744246964,0.6374766775269395,2.883246116579068e-05
Alagoas,,,,,,,,,,,0.01796412458313422,0.024633918831700612,0.42456832997839805,0.6300702994864793,0.0006068299570068141,0.012372167465955895,0.01805780472251077,0.3183671728631614,0.7416014333837395,0.00032608431139633225
Sergipe,,,,,,,,,,,0.009340942040871951,0.013022783863265271,1.200495851819841,0.4472791275142316,0.00016959289954932236,0.009356979852575593,0.012023696643738169,2.46020327764863,0.4580092001681698,0.00014456928098064052
Bahia,,,,,,,,,,,0.00493964914342462,0.012727104119331197,0.8766477232539248,0.20456204669760003,0.00016197917926429712,0.006719630740484393,0.01316823662038832,10.774861311867307,0.31736046676099927,0.00017340245569053602
Minas Gerais,,,,,,,,,,,0.0003097322585884595,0.000793804373351773,246809285976.4657,-115.33645228956932,6.30125383152401e-07,0.002693431604767526,0.0035754079360501992,391115789678.9936,-817.1353795416551,1.2783541909170747e-05
Espírito Santo,,,,,,,,,,,0.00044333995616681923,0.0008976530925812642,248897579692.52432,-0.6361258323155794,8.057810746207076e-07,0.003116355263321514,0.0038632189854714834,47.36229947189944,-13.754250053746363,1.4924460929707318e-05
Rio de Janeiro,,,,,,,,,,,0.007000277252050214,0.011600814996380996,0.385589444930656,0.6817928945865797,0.0001345789085802582,0.006659967944454012,0.010357686036814924,0.3779736954825447,0.7272693722106993,0.00010728166003723085
São Paulo,,,,,,,,,,,0.018819835002747837,0.026355899932839648,0.5207809803293105,0.8332175613079481,0.000694633461269857,0.01638339126541237,0.024793316671599872,0.5556407892635885,0.8429559566102083,0.0006147085515782323
Paraná,,,,,,,,,,,0.01675476638892989,0.0271184359991904,0.7072859648719806,-0.32667090105755614,0.0007354095710421859,0.01424567408070636,0.024042164204981443,0.6013558527353182,-0.06656588086619641,0.000578025659659291
Santa Catarina,,,,,,,,,,,0.002619256862291988,0.0029179245801210533,1629294166018.7285,-0.8385785070467833,8.514283855274626e-06,0.005807396406391114,0.006170655922581556,9.311122858244183,-4.0045901894656435,3.8076994514890836e-05
Rio Grande do Sul,,,,,,,,,,,0.025284465123009567,0.04960311786169088,0.6236323733917665,0.8188600247578854,0.0024604693016007967,0.015900871434009967,0.029531427055586403,0.5062821864317207,0.8757316683407234,0.0008721051839394206
Mato Grosso do Sul,,,,,,,,,,,0.004204715533674761,0.005497428842886993,0.35641634025219476,0.02768975738630164,3.022172388260583e-05,0.004482878793095644,0.0053489727673428486,0.6221736548107997,0.14163599491059664,2.8611509665775408e-05
Mato Grosso,,,,,,,,,,,0.009351720184436306,0.014941336689935783,0.47097396250128415,-0.02408108415282184,0.0002232435420820212,0.011914673203933997,0.020076757555934303,0.4121848838775371,0.047338161186794014,0.0004030761939597651
Goiás,,,,,,,,,,,0.017212821876475742,0.022405884270580018,0.5432285119492392,0.32518831721118047,0.000502023649946625,0.012893629792812113,0.017286386655846073,0.5230712226106095,0.4930838475551068,0.00029881916361541313
Distrito Federal,,,,,,,,,,,0.0023517946080416755,0.0033283291977757802,0.6380310535631032,0.3913189494807833,1.1077775248766769e-05,0.0036544630999425557,0.004425685966767822,1.4976175818206219,0.12359568804058918,1.9586696276445634e-05
