Department,MAE (DengRate_all) Val,RMSE (DengRate_all) Val,MAPE (DengRate_all) Val,R2 (DengRate_all) Val,MSE (DengRate_all) Val,MAE (DengRate_all) Train,RMSE (DengRate_all) Train,MAPE (DengRate_all) Train,R2 (DengRate_all) Train,MSE (DengRate_all) Train,MAE (DengRate_019) Val,RMSE (DengRate_019) Val,MAPE (DengRate_019) Val,R2 (DengRate_019) Val,MSE (DengRate_019) Val,MAE (DengRate_019) Train,RMSE (DengRate_019) Train,MAPE (DengRate_019) Train,R2 (DengRate_019) Train,MSE (DengRate_019) Train
Rondônia,4.992557243486771,6.780735709518877,1.4730466812220067,0.29029759724715876,45.978376762344475,7.711185779990016,13.060374804132826,0.868705259927752,0.3091665896236202,170.57339002442754,3.2761638654705543,4.789355277198234,1.2524685198948529,0.4587743561266344,22.937923971226567,5.4764267104394975,9.145659601203853,1.030100163272608,0.19907450158703388,83.64308954109222
Acre,31.525223370197928,56.99608317572617,0.4026775488130025,0.49993179005458444,3248.5534973742956,13.693250018237881,24.847198155316562,0.796435489017906,0.4562399058417532,617.3832561695667,20.71210835572277,39.03953859708429,0.4339662152663168,0.4587448952105617,1524.0855738732341,9.091759566988777,16.003870888478627,0.9328179863113556,0.5346743882178732,256.1238834150937
Amazonas,4.7010771849118544,5.962946214730758,0.8652588587272483,0.30721496894830036,35.55672755977187,35.50649630476816,70.3684498408506,0.546766340213567,0.7077862885659565,4951.718733004308,3.4243791198820324,4.679475382078927,0.7499958632508652,0.3200215051874389,21.897489851482714,26.770110936556474,51.50667761056884,0.6207979936323971,0.760594501473143,2652.937838479074
Roraima,7.953434397586616,13.945308382116954,649140879898854.8,0.5186605147996599,194.47162587234138,10.269728079016081,22.40175661599586,0.5887839101672673,0.6016786747955007,501.8386994823143,7.633753023143986,18.079429110288693,940990335199915.9,0.3536397556491362,326.86575695395425,8.054426328889594,13.756963939021217,0.5852045456698425,0.7002264101240503,189.25405681953015
Pará,2.898661837262779,4.084127971759248,0.6717063166133427,0.5458747690250698,16.680101289706307,7.822002094466809,19.438656609069298,0.3497424052251656,0.6456754713184181,377.86137076531355,1.8590814060248801,3.1781590936843345,0.4765910182341772,0.6284454437159357,10.100695224768431,6.106667851184981,13.501089760125572,0.3623597914909152,0.695628929952627,182.27942471096756
Amapá,3.6923427254460077,4.857282277000745,0.9872973463722217,0.5851056258407068,23.593191118465537,15.212921227785735,41.65944053192632,1.0384563270670877,0.3975925886320799,1735.5089854331056,2.3045135544057462,3.0630519440735826,0.6982619921090037,0.6269750581691624,9.382287212092955,8.45952334779467,21.99421836675168,1.7207322704780834,0.4731085454613677,483.74564156435696
Tocantins,14.716074714223895,27.47171554866195,0.411702717140527,0.7724107783371494,754.6951551865949,14.21123075663275,23.454773823612435,1360840105947598.0,0.5178079427845663,550.1264151168151,14.470728961502838,27.336369553906746,0.45047429942153916,0.7455403164651594,747.2771003877598,13.910996843813734,31.66525383534763,3150210633505911.5,-2.3816503382381584,1002.6883004569978
Maranhão,2.4225066652863716,3.397015795020129,0.8516647894205962,0.733502063253892,11.539716311616239,92.38075801791965,166.11563265192146,0.3569039556845487,0.6596938243748318,27594.40341134811,2.481981845968668,3.5251593096310385,0.6231326758696679,0.6782775301147239,12.426748158278379,48.76557077203184,93.42675305301205,0.3242529487783732,0.796222619754664,8728.558186028496
Piauí,4.874443601350015,8.109541006471071,0.4898937030547505,0.7474592213756897,65.76465533563584,40.441155482232084,110.45164718511926,0.936366847800848,0.7421777919045891,12199.566365906061,4.278481335979037,8.440886604035187,0.4791018100878151,0.6911951904786302,71.24856666218066,26.30000665456882,59.19893587817922,1.1743299028582648,0.8424461897890931,3504.514009108775
Ceará,9.454140318805281,16.34632234515049,0.9575574504951516,0.7084984192831142,267.20225421156624,65.2583792320801,156.77298324954785,0.7632313357149638,0.6380195180527708,24577.76827696301,7.138217754931412,12.020502589083145,0.8598183236178644,0.7488726615134396,144.49248249415461,51.16908918329921,123.54759663214266,0.8753355742405096,0.6644071520514538,15264.008633578629
Rio Grande do Norte,17.780749116917125,31.72853389498156,0.25775029136692035,0.6834349735011962,1006.6998631249937,4.487131544706276,5.078786222448378,1.9530533773531416,0.3271220703999287,25.794069493331463,22.966735094282175,36.210282896378295,0.34497419761591086,0.5509160154080702,1311.1845874357464,2.646888958538999,3.372098096918206,1.3121122000803143,0.43179486762549235,11.371045575239387
Paraíba,5.684849262415798,9.768555994377639,0.301597243249122,0.85782514637264,95.42468621529129,5.666527288526643,6.628156703211372,5.990232767327502,-7.820797620801459,43.932461282325846,10.320823300589279,19.31862298634626,0.3008611454336841,0.6606187192348137,373.2091940885861,3.4782929801807194,4.529601748790399,394658370813955.56,-0.7710430425528476,20.51729200264504
Pernambuco,6.185206134749372,10.221939524443261,0.45251410017273674,0.7336433275895148,104.48804764137533,5.5605538319423315,7.279257049550007,0.974026125419186,0.7064025621649028,52.98758319342347,9.04638553748992,16.56322378650251,0.36615705526186093,0.5339304270607959,274.3403822017625,8.20224972695628,14.093154990564702,0.734668682560931,0.4491873941020823,198.6170175880788
