Department,NRMSE 0-19 Training,NRMSE All Training,NRMSE 0-19 Validation,NRMSE All Validation,MAE (DengRate_all) Val,MAE (DengRate_019) Val
Rondônia,0.19951118891310396,0.17774953952395786,0.15790585985660258,0.18619125657598734,4.992557243486771,3.2761638654705543
Acre,0.18353055691327935,0.19928894262140656,0.2018680371160524,0.19392388579917674,31.525223370197928,20.71210835572277
Amazonas,0.10134973669200689,0.11088683746585329,0.20103330275122336,0.18336112240007715,4.7010771849118544,3.4243791198820324
Roraima,0.12731773922991285,0.15067028046767747,0.161697790912056,0.1421282482956485,7.953434397586616,7.633753023143986
Pará,0.12636040097672366,0.13193367521250804,0.15082227627218497,0.16059119525121066,2.898661837262779,1.8590814060248801
Amapá,0.13819402169262912,0.15348898813239248,0.14819848728888732,0.18373315106164975,3.6923427254460077,2.3045135544057462
Tocantins,0.3120451957969472,0.11816937109392385,0.1388240579772033,0.1332594933983823,14.716074714223895,14.470728961502838
Maranhão,0.11708607610195668,0.1593300436356052,0.1522334723696685,0.12512415732170643,2.4225066652863716,2.481981845968668
Piauí,0.08081290356998787,0.0956246900241578,0.12171048803380694,0.1174568894237767,4.874443601350015,4.278481335979037
Ceará,0.1432096422842219,0.15086217082455075,0.10222280533371521,0.10861201510103408,9.454140318805281,7.138217754931412
Rio Grande do Norte,0.1949927905125432,0.22118018771521014,0.21743833290459358,0.15252936578105727,17.780749116917125,22.966735094282175
Paraíba,0.30480752419348145,0.7105353394350115,0.13476163662235124,0.09293644777062698,5.684849262415798,10.320823300589279
Pernambuco,0.19326392030419956,0.15454492609248313,0.1400969028311084,0.10356687340003441,6.185206134749372,9.04638553748992
Alagoas,0.10532725231599305,0.10210766185075146,0.13981060698039785,0.11679841727930737,8.075819538873317,9.241333314332318
Sergipe,0.2172747285546934,0.21115500381765995,0.1800204877373311,0.13821835767541937,7.5554772295003465,10.603735906363404
Bahia,0.12562551385756868,0.15764670841599093,0.12062258254439959,0.10013560514050544,5.780465053738767,6.330260345312056
Minas Gerais,0.13765580842833436,0.14060970563253733,0.07894613392919715,0.08086810947082701,26.565836091407434,21.45668325156758
Espírito Santo,0.11336385013137462,0.13762981926627363,0.09238543839104754,0.10642836550471227,22.790239384960127,17.719102570015192
Rio de Janeiro,0.20395236421646215,0.25133068538993675,0.12820233120879673,0.13733215601617313,4.67297624770589,3.2529444594388304
São Paulo,0.21251873456404993,0.19180778695178055,0.06049084660472573,0.0707555152154007,10.870001975654873,5.789194837014483
Paraná,0.17472376142373486,0.19111747910337454,0.11620676015706893,0.1348580190549676,8.492338174404747,5.491405882822683
Santa Catarina,0.18776107367065847,0.18118934541055462,0.17067902050699466,0.2287410666201258,1.7811020850143882,0.7293473660622225
Rio Grande do Sul,0.16706776614244714,0.14694903804370285,0.35621093631745443,0.4852115104939324,2.057340049732045,0.905122501477813
Mato Grosso do Sul,0.15548655854327273,0.1632235822606512,0.09243399604744962,0.0894607743356425,33.393558577279144,28.178072703947464
Mato Grosso,0.12404207982530119,0.13392135641564018,0.1633412282809189,0.14894208777708315,6.048746558018258,7.675907472274947
Goiás,0.14610472466400132,0.17918384302778828,0.09199001681345101,0.1335341759650689,38.42828350157092,18.989318974874678
Distrito Federal,0.1351234442622595,0.1905223133953261,0.0812305719043041,0.09526231191751401,19.879979583313695,15.567322727744823
