Department,MAE (DengRate_all) Val,RMSE (DengRate_all) Val,MAPE (DengRate_all) Val,R2 (DengRate_all) Val,MSE (DengRate_all) Val,MAE (DengRate_019) Val,RMSE (DengRate_019) Val,MAPE (DengRate_019) Val,R2 (DengRate_019) Val,MSE (DengRate_019) Val
Rondônia,10.513486397403513,11.76488043605902,3.961683964998059,-20.101478755899407,138.4124116747643,9.23902214122145,10.144511409086991,3.984390807018073,-26.80551024875816,102.91111172909613
Acre,43.38762642918933,66.8728689254834,0.43458829633592866,0.4161279989645793,4471.980598324883,31.39366319570082,50.94396295276577,0.41990806815705284,0.20030614842922578,2595.2873613327715
Amazonas,6.858072558514537,7.434526759556646,1.7937262189616823,0.12405087711347396,55.27218813856385,7.01070772310074,7.353626568829163,2.4682404399204114,-0.4302034768008589,54.07582371379016
Roraima,11.499098070711264,15.076985285343985,2368431082263901.5,0.5969964840260926,227.31548529447903,11.483674261128725,19.377556222371375,4121386729603075.5,0.47180876305968156,375.48968515116354
Pará,4.4957850235920755,4.857629906363985,1.4425004079820989,-1.4555578484990708,23.596568307201775,4.452078478465535,4.852491183696072,1.8444614485172695,-1.9286843852960667,23.54667068784811
Amapá,8.13033970046891,9.12189982700067,2.9451972361936583,-1.9128429925844945,83.20905645383483,8.037856171723435,8.578322358136651,3.161736526447438,-5.772013488076213,73.58761448010715
Tocantins,13.543717046068275,21.088362905809866,0.7529102649787299,0.9019337058278334,444.7190500471376,16.108145830299225,24.007226041395363,0.8572847897745959,0.8576975809823811,576.3469022026517
Maranhão,6.046646660203667,6.607892409994199,2.7858094172840873,-0.8814656794519866,43.66424210205895,5.183963905798255,5.699838600600278,2.5140513569026144,-0.11323409165817622,32.48816007289293
Piauí,5.924524162053184,6.33577153511758,1.3395818222313973,0.8666321670626481,40.14200094520617,5.79869459893274,6.193199634047375,2.0029444649880346,0.8752149133693401,38.35572170716454
Ceará,11.20501544329106,13.483031729233526,2.8331712887109326,-0.6029728924106781,181.79214461151798,9.764561764583013,11.959171100629074,3.2038933439152544,-1.0169172019058408,143.02177341412164
Rio Grande do Norte,20.113359036608696,30.4326774465808,0.2704195303365548,0.7552814496959375,926.1478565676276,28.332657625570533,38.54473016897011,0.34785738432847335,0.5547787234313497,1485.6962237987148
Paraíba,8.205858713669473,12.168256899048806,0.2910952468595469,0.8155944502164487,148.06647596124887,8.075906767252427,12.347307913466603,0.23252860380937465,0.8847073144478753,152.456012709955
Pernambuco,9.020910791588074,13.275249542318592,0.5930808536074988,0.6475859890950204,176.23225041083,8.85004928366447,13.06973722170399,0.34840388650592985,0.7667897147276587,170.81803104439473
Alagoas,8.525894209477825,10.040232216688528,1.0494691564228589,0.9498180062658612,100.80626296503023,11.331748350796301,15.430226887860334,1.1208948889727928,0.8889877912360192,238.091901810848
Sergipe,12.543437222598257,14.989539187002599,8.437006298144256,0.498897902160902,224.68628503868652,18.08233016157241,29.7764692233619,7.672807406684953,0.2946170015884484,886.6381194098185
Bahia,7.914421904854632,10.368333418411083,0.6041852792812693,0.8414832437910588,107.50233787534005,9.443484307906663,12.800883650055894,0.7140000273931753,0.7515946404981574,163.86262222226833
Minas Gerais,23.48944303615548,44.14661119797307,0.5889982048382824,0.9575392610045907,1948.9232802650015,18.467832278563574,31.91424057668106,0.5886489430237231,0.967781622962826,1018.5187515862759
Espírito Santo,17.63670214767828,22.934040395467463,0.29834810381237575,0.9531339841872938,525.9702088609333,11.78170596786947,15.943506537286147,0.24536085375784242,0.9617749132022525,254.1954007044861
Rio de Janeiro,6.585613241097351,10.278604442223973,0.959619795667102,0.5140334173475887,105.64970927970637,5.207748692894216,7.696696198517863,0.9612288111031706,0.49077135436560193,59.23913237227932
São Paulo,15.708952537599572,28.28913754628828,1.2050410480515805,0.8818361759763822,800.2753031128174,9.585770826301568,15.972038918485712,1.363838286713186,0.9272141642026416,255.10602721362224
Paraná,9.09543438481897,12.891005298654001,3.939504608520702,0.8217278799875344,166.17801760992555,6.601055543504455,8.801862569689769,4.037125317774563,0.8489094269480739,77.47278469570578
Santa Catarina,4.371287046994801,5.878405840275624,11.113352754045527,-3.231887419663588,34.555655222986566,4.045873203717043,5.293897581761009,19.22599308653681,-7.416991948554706,28.025351606175064
Rio Grande do Sul,2.371189520055788,3.737084582050519,11.176927428381182,-6.141631497093653,13.965801173399704,2.1423065144872457,3.3139683962174407,376565049327638.25,-10.495044739255919,10.982386531127995
Mato Grosso do Sul,38.36798524074427,59.18394310950033,0.9735788773354974,0.9120235036302384,3502.739121988572,31.34115656659053,48.8438044044808,1.2177687533005024,0.9193167579910966,2385.7172287031776
Mato Grosso,7.37235424859843,9.940079137037854,0.3852215696328743,0.6672703019792756,98.80517325057521,6.951782169626102,9.149502550168904,0.4058282890767173,0.7179813765277361,83.71339691554728
Goiás,30.161737567091222,38.60688798087938,0.2646389580149889,0.8897931132929225,1490.4917995681687,19.723681977519398,23.568520628579552,0.2526523484857419,0.9142976471665367,555.4751646197799
