Department,MAE (DengRate_all) Val,RMSE (DengRate_all) Val,MAPE (DengRate_all) Val,R2 (DengRate_all) Val,MSE (DengRate_all) Val,MAE (DengRate_all) Train,RMSE (DengRate_all) Train,MAPE (DengRate_all) Train,R2 (DengRate_all) Train,MSE (DengRate_all) Train,MAE (DengRate_019) Val,RMSE (DengRate_019) Val,MAPE (DengRate_019) Val,R2 (DengRate_019) Val,MSE (DengRate_019) Val,MAE (DengRate_019) Train,RMSE (DengRate_019) Train,MAPE (DengRate_019) Train,R2 (DengRate_019) Train,MSE (DengRate_019) Train
Rondônia,5.042067984820798,7.660397028536346,1.352703484104596,0.09421484410447756,58.68168263480848,4.859859998007279,9.221891961737802,0.37469485826158977,0.6555690955823905,85.04329135396428,3.707569507805232,5.4359323098141346,1.2769276507726148,0.3027759855810188,29.54936007688123,3.7976215937722793,6.844494763864441,0.49317907997462307,0.5514148988452082,46.84710857256775
Acre,37.809434688756056,90.21771391048773,0.3949845758087103,-0.2529186087727302,8139.23590323461,8.125609556105164,14.433111783897361,0.5284487429504977,0.8165268845117223,208.3147157664769,26.59382343574047,64.2808902988616,0.3994660192157388,-0.4674267086314141,4132.032857614281,5.309757524350668,10.305227923068257,0.6781705530952962,0.8070600853194259,106.1977225463857
Amazonas,3.854436293263796,5.617548029116602,0.5203447308941391,0.38514841103222053,31.556845859431817,11.994752260965965,19.04999386758462,0.4120091378002099,0.9785841999803805,362.90226635501165,3.117718304491601,4.802358898122973,0.5795865440329121,0.28383998300860724,23.062650986380895,10.313112221252302,15.641400627039596,0.5214636986473925,0.9779220713000453,244.65341357555468
Roraima,7.457861534309733,11.43846615634789,1053281787910026.6,0.6761597492314145,130.83850800991604,7.307695151865316,10.756468558107702,0.5650216250292255,0.9081648725021533,115.70161584155959,7.491087252538081,13.942500754636924,1911529006227419.2,0.6155971806278437,194.3933272930512,5.908654507394512,7.447998097686159,0.5456274752433148,0.9121326992772467,55.472675663136634
Pará,2.0139119842061337,3.313773501237014,0.36569734745180493,0.7010334569471381,10.981094817500617,5.4504147185589416,8.330109516672065,0.3681639849306531,0.9349315974673216,69.39072455975051,1.8558787164726738,2.9210601292421607,0.4365509938820433,0.6861281854864938,8.532592278648229,4.046342301092325,6.105306852538205,0.34843118767993286,0.9377584047927319,37.274771763649966
Amapá,4.211274261003849,5.154134350463129,1.3319845963344539,0.5328435709213426,26.565100902623982,7.903878118850658,20.381060145474937,0.4603363803610777,0.8558160294454319,415.3876126534668,2.2945218785415324,2.9507394616037996,0.84878400933402,0.653828844843265,8.706863370265882,5.7899522143267115,11.393898487694583,0.6414489542927292,0.8586002044483898,129.82092274788891
Tocantins,7.417815280247137,12.074249692713611,0.30822797688652026,0.9560356725371763,145.78750564199473,8.676909093117754,15.256828419971704,632000592830064.5,0.7959737356607364,232.77081343645628,7.513402232865401,13.256988814531105,0.38487821634971814,0.9401551078686389,175.74775242860284,5.247843612548276,10.878457765995572,1346998903216523.5,0.600885586462427,118.34084336654935
Maranhão,2.866319584379014,3.9216106283333665,0.777751232572033,0.6448370451897891,15.379029920257222,17.60106756368792,28.283907947725524,0.1981694009548097,0.9901343057597564,799.9794487954111,2.7135453395673195,3.8948985540787295,0.7245597138969238,0.6072499957961359,15.170234746564578,12.782214675166545,18.128150927925795,0.2354234863659818,0.9923277900298982,328.62985606565684
Piauí,3.6655483143142606,5.54557287202482,0.41927799395176074,0.8819049213173539,30.753378478937616,12.912222898736495,17.275656124965227,0.6122612360162342,0.9936926775923997,298.4482945480486,3.4344745917996837,4.667501899123298,0.6293483225496045,0.9055771878950696,21.785573978319597,8.6076488421935,11.36388403352777,0.681873354120946,0.9941942985862823,129.13786032746737
Ceará,7.130132802933891,10.765858879811846,0.7657726276427435,0.8735560186848242,115.90371742002357,12.259330689222864,15.552883785213423,0.4860424018214951,0.9964374205180124,241.8921940363546,6.322373088100779,9.314600670401587,1.1473410921689196,0.8492083744684245,86.7617856490457,8.794985974332596,10.87162193486058,0.4455298990203903,0.9974014398376926,118.1921634945417
Rio Grande do Norte,13.636374939018943,21.887844723458027,0.29451975994599094,0.849350074322319,479.07774663820936,2.9093678032931276,4.602124425787163,0.5476451779526021,0.4474989206446559,21.179549230426826,14.056655675805379,20.568102078036937,0.3083067217290021,0.8551054101734792,423.04682309254736,1.8319973307583257,3.1617982945959384,0.5124575721889477,0.5004567744333598,9.996968455709784
Paraíba,6.562130326337414,10.216331669747923,0.34806486075058074,0.844492257532846,104.37343278629437,2.9762356195664394,4.483036540717312,2.640973617211573,-3.0352168701389317,20.09761662540664,4.762210646066913,6.468601249408803,0.29615707685384723,0.961949855468387,41.84280212385313,3.1228377982269913,4.414666721904499,234018022591536.88,-0.6823057232015175,19.48928226549102
Pernambuco,7.183030590202987,12.08321127861535,0.5602259979169203,0.6278125671558579,146.0039948036572,4.216894196428427,5.752354858132999,0.45662744581704334,0.8166548235522122,33.08958641388631,6.984237391653145,11.236690479506954,0.4501954877273396,0.7854947884195087,126.26321293224221,5.850813700847553,9.481005413531443,0.4976683805593915,0.7507149673383653,89.88946365141254
Alagoas,5.099942435045614,7.869199702950846,0.5423885892807738,0.9577320523870156,61.92430396492168,7.2582810614048485,10.52611544538163,0.3285394490699332,0.9941245412702064,110.79910636950169,5.5291062941623,9.032420938205178,0.6255576495997973,0.9479247559279227,81.58462800492731,6.736460850121373,9.140863570830097,0.33547299578809997,0.994897342400295,83.55538682052877
Sergipe,5.736340377902109,8.720017304574357,2.615800575013535,0.7639385230223272,76.03870179207624,6.377825256580004,9.481000639193528,0.4899254505230938,0.27288156354048154,89.88937312038809,9.265146624156756,21.325348663531436,2.452763238368942,0.5007978429873865,454.770495621182,5.055181077128511,7.823345702279671,0.5411430116642492,0.18559526633576484,61.20473797737779
Bahia,3.255549092146696,4.753082839367601,0.2870827138478512,0.9567528873723234,22.591796477890778,10.4080704146705,17.39830418018322,0.5741045514780355,0.9479113489305867,302.7009883461809,3.3575133297891515,5.424006405866922,0.30824602563137304,0.9418688598594394,29.4198454908854,6.273278885249793,8.90879321673486,0.7783349801318817,0.9625952261848404,79.36659657854106
