Department,MAE (DengRate_all) Val,RMSE (DengRate_all) Val,MAPE (DengRate_all) Val,R2 (DengRate_all) Val,MSE (DengRate_all) Val,MAE (DengRate_019) Val,RMSE (DengRate_019) Val,MAPE (DengRate_019) Val,R2 (DengRate_019) Val,MSE (DengRate_019) Val,MAE (DengRate_all) Train,RMSE (DengRate_all) Train,MAPE (DengRate_all) Train,R2 (DengRate_all) Train,MSE (DengRate_all) Train,MAE (DengRate_019) Train,RMSE (DengRate_019) Train,MAPE (DengRate_019) Train,R2 (DengRate_019) Train,MSE (DengRate_019) Train
Rondônia,0.003022166824955675,0.003937249596708968,1.2507026647673107,0.09080341409528081,1.5501934386784935e-05,0.006037336311808386,0.0069438328447387595,4.026912251507272,-4.298631647431886,4.821681457567277e-05,0.007717119489011458,0.015936227961881006,1.3845427023124153,0.04327330983841904,0.00025396336165303804,0.009703313563283458,0.01692330834039464,2.123232730953264,0.12557622527549916,0.00028639836518407085
Acre,0.008679699001342566,0.011567987126207453,1.132588717929674,0.6527780472936724,0.00013381832615210135,0.009356740363628277,0.011446932464211282,1.917242318083612,0.4761627956307666,0.00013103226284021417,0.031871253788346376,0.04349341862661084,0.5057749407147382,0.9471821819535725,0.0018916774638296186,0.03217821490476292,0.04053420748305834,0.5748307734868716,0.9330734074710376,0.0016430219762796228
Amazonas,0.03508892415593198,0.05049558326995184,1.8025361270906355,0.8524015895431667,0.00254980392977264,0.027293323301759043,0.03647910763196298,1.7600136935471014,0.8683954102026925,0.0013307252936243395,0.004459756012463693,0.00589458336620997,0.6475477382813013,-0.42490686966013724,3.4746113061199253e-05,0.006008360674816,0.007558118748871513,0.9861163085666141,-0.9998982892112513,5.7125159022043085e-05
Roraima,0.001252358934323911,0.0016511398160714685,0.49877212254600295,0.41960818031646585,2.7262626922165226e-06,0.00550690972723696,0.005739883293319698,2.2656997975444564,-7.70941580523011,3.294626022093058e-05,0.0052460004286113,0.00688267688443891,0.7485302645842751,-0.6804119808422044,4.73712410955897e-05,0.0034655406990770376,0.004483147274290855,0.8026930123625585,0.27135810905289115,2.009860948298152e-05
Pará,0.008812826276342786,0.013183733930946304,0.5432115275116931,0.5938360551926387,0.00017381084036198488,0.014250138617139039,0.016417015403470278,1.6588054187338008,-0.4641167139566156,0.00026951839475778034,0.01349807393712816,0.01737604162044734,0.6606107037672371,-0.28887062165437216,0.0003019268223955182,0.010533303326332184,0.01546083077764132,0.6912360429756924,0.11963036103083169,0.00023903728833486108
Amapá,0.007689360839866758,0.014578261288674949,1.701236241225877,0.29056896708185664,0.00021252570220087858,0.009655405794904306,0.014577172698761728,5.679942340978169,0.37725939439632916,0.00021249396388952428,0.008601001553804917,0.013014663967852315,0.3521826166963579,0.40222758633985367,0.00016938147819611335,0.007550542624393121,0.010949057925205176,0.3160510639406163,0.5482544593925418,0.00011988186944949829
Tocantins,0.029907973128708798,0.04895158124187638,0.5649730321236629,-0.2638114208817248,0.0023962573060800235,0.025625298546436706,0.0404292286349905,0.46024254347226723,0.3242387916473217,0.0016345225280203362,0.009247306657982653,0.018175376790290285,0.4603313972602887,-0.05470236974814768,0.0003303443214690228,0.006308219979045994,0.011403216728287162,0.6588346987896971,0.2231263063425254,0.00013003335175228818
Maranhão,0.010799543809286395,0.013709483574340476,4.073085869608854,-3.536684971520116,0.00018794993987511133,0.014734467903814339,0.017366799572717036,5.466699310909242,-5.893660691085273,0.00030160572739892466,0.012723075405630344,0.018985833355669855,0.4065781480256816,0.7776498432830239,0.00036046186820926605,0.004947074464089067,0.007131086800537752,0.32945968563565886,0.9382554822865121,5.0852398956803764e-05
Piauí,0.016231483036801837,0.02430598801481883,0.41972299289715026,0.847938989848293,0.0005907810533765167,0.013380361730310425,0.021169089997965716,0.41467554737740664,0.8678419677301915,0.00044813037134197207,0.011451414228964035,0.015470857273590504,0.4786486665656686,0.699293645411184,0.0002393474247798082,0.00901152645288663,0.014859129491472963,0.2921478485386017,0.7469314711440536,0.0002207937292443616
Ceará,0.02459276074282327,0.03155849371329512,0.4166315650874801,0.7369906720894628,0.0009959385254520873,0.025269626666575607,0.03170819044682609,0.3936083883442139,0.7461042055903979,0.0010054093414121933,0.005385179972707959,0.010403368075630772,0.3432689291675007,0.4986984566156275,0.00010823006731705351,0.004785413699488555,0.005245392645607694,1.258641453960877,0.7166314799996256,2.7514144006595285e-05
Rio Grande do Norte,,,,,,,,,,,0.019261531160541193,0.030770100884883248,0.41614131051220166,0.8372036164854472,0.0009467991084658927,0.010508035086150771,0.016853716533527442,0.38014080617456,0.8760800624569092,0.00028404776099249623
Paraíba,,,,,,,,,,,0.008827640615362104,0.014959591451896032,0.799577101940136,-0.21355069875123234,0.00022378937640764082,0.00943294637760666,0.014479884329403432,1.3876217672788147,-0.03508344891975823,0.00020966705019290308
Pernambuco,,,,,,,,,,,0.003362564671856289,0.005187534683142097,1.39313900279332,0.602601749389645,2.6910516088802182e-05,0.004791201587296342,0.005464084803398032,4.191274979483044,0.624604469195281,2.9856222738725315e-05
Alagoas,,,,,,,,,,,0.018163368335222575,0.02516305405846613,0.43605162815773185,0.6140074789489967,0.0006331792895492886,0.012492596729871762,0.018609890854410106,0.3203223087386922,0.7255597237566369,0.00034632803761305695
Sergipe,,,,,,,,,,,0.009274009584180933,0.013003320072957916,1.177353196345925,0.44893008076870866,0.00016908633291979027,0.009239205176607755,0.011904076388158475,2.4192694726111,0.46873977283731505,0.00014170703465511212
Bahia,,,,,,,,,,,0.004705094799339769,0.012347354281924258,0.8447021006525125,0.2513222372876116,0.0001524571577633533,0.006461554277415092,0.012807403190890496,10.077124685678884,0.3542590092546868,0.00016402957649403206
Minas Gerais,,,,,,,,,,,0.0002536537454456132,0.0006769867951459267,136830364333.3834,-83.61536586927174,4.58311120801953e-07,0.0026729480099626016,0.003483973586823257,296830195056.57526,-775.8258730865159,1.213807195368211e-05
Espírito Santo,,,,,,,,,,,0.00043476309178142075,0.0008611374506282207,234706042881.73364,-0.505721295593083,7.415577088744713e-07,0.0030691450335336994,0.003795669868700149,48.48882335666945,-13.242799176216447,1.4407109752158206e-05
Rio de Janeiro,,,,,,,,,,,0.006938716273980048,0.011127462582613948,0.40679037881619867,0.7072309548546829,0.00012382042352747347,0.006973660602739931,0.010232683016712452,0.3775321660829132,0.7338126154296698,0.00010470780172051545
