Year,dep_id,t_fundc_ocup18m,t_medioc_ocup18m,PopTotal_Urban_UF,PopTotal_Rural_UF,total_precipitation_d,surface_pressure_d,area_km2,humidity_d,temperature_2m_d,min_temperature_2m_d,CNN_all,CNN_0-19,Month,cases20_99,cases0_19,RandEffects1,RandEffects2,RandEffects3,PCA0-Climatic,PCA1-Climatic,PCA2-Climatic,PCA3-Climatic,PCA0-Geo,PCA1-Geo,PCA2-Geo,PCA3-Geo,PCA4-Geo,PCA5-Geo,PCA0-Socio,PCA1-Socio,PCA2-Socio,PCA3-Socio,PCA4-Socio,PCA5-Socio,mosquito_interest,sintomas_dengue_interest,dengue_interest,DengRate_all,DengRate_019,time_idx
2004,11,0.2067510548523206,0.1285300506879072,0.0204972723004398,0.0896371238240846,0.5613310140260319,0.8046562879787906,0.1493520686857376,0.9640325412567996,0.7141242141987281,0.8934196136855022,0.0373837404221525,0.0542587439504495,1,0.0015480115791266,0.0012774478663168,0.0,0.0003882535648736,2.6147457397471263e-05,1.0,0.4121978063091126,0.6144520249054974,0.6225789509932088,0.2292821096643777,0.4812937103905632,0.5425614783059591,0.8019465738613494,0.7717232562424459,0.5270278521399709,0.3144907390635584,0.0966337427544144,0.1799665276966018,0.3252458118538867,0.6046860616753338,0.0762917048878268,0.0,0.0,0.0,0.0206825569949933,0.0147346769155738,0
2004,11,0.2067510548523206,0.1285300506879072,0.0204972723004398,0.0896371238240846,0.4577363093680536,0.8171982135740041,0.1493520686857376,0.9453824690614736,0.6994081534995971,0.8442330686841011,0.0056297021464584,0.0342037081384613,2,0.0011610086843449,0.001294710675321,0.0176,0.0003882535648736,0.0174926489989089,0.9336701758883794,0.404097520350836,0.5482826549859745,0.606741103033152,0.2230926130821854,0.4867919245032865,0.5434155818326888,0.8072232371564472,0.7815655784046591,0.5174575083462691,0.3144907390635584,0.0966337427544144,0.1799665276966018,0.3252458118538867,0.6046860616753338,0.0762917048878268,0.0,0.0,0.0,0.0165902863596203,0.0149337941711896,1
2004,11,0.2067510548523206,0.1285300506879072,0.0204972723004398,0.0896371238240846,0.4190327456696352,0.8128100140063808,0.1493520686857376,0.9536109070775818,0.7209325891012774,0.8802695543513952,0.0111027175278608,0.0221570406095364,3,0.0009494471018643,0.0010185057312525,0.0351999999999999,0.0003882535648736,0.0349591505404204,0.9461242218628524,0.404422423011259,0.5581363060234521,0.6561438947826721,0.2762729101604935,0.4395511423117232,0.5360771046748223,0.7618860246886587,0.697000119877252,0.5996861224721588,0.3144907390635584,0.0966337427544144,0.1799665276966018,0.3252458118538867,0.6046860616753338,0.0762917048878268,0.0,0.0,0.0,0.0134381319512924,0.0117479180813358,2
2004,11,0.2067510548523206,0.1285300506879072,0.0204972723004398,0.0896371238240846,0.2619436436308547,0.817030301360381,0.1493520686857376,0.9561500206769822,0.7168437534978782,0.8621128842018173,0.0265247880589138,0.0324967553410537,4,0.00040764304917,0.0003279933710813,0.0528,0.0003882535648736,0.0524256520819318,0.9157385003212788,0.4566544098702764,0.5384545236878548,0.6400188591244751,0.3269470637744741,0.3945366014923125,0.5290844562839562,0.7186853470835782,0.616419843510152,0.6780396791953257,0.3144907390635584,0.0966337427544144,0.1799665276966018,0.3252458118538867,0.6046860616753338,0.0762917048878268,0.0,0.0,0.0,0.0054194935441426,0.0037832278567013,3
2004,11,0.2067510548523206,0.1285300506879072,0.0204972723004398,0.0896371238240846,0.1047508228026985,0.8379451235537907,0.1493520686857376,0.8985101981040107,0.6477585946316005,0.7464028626562786,0.0203858053955207,0.0276522878232172,5,0.0002270416982719,0.0002071537080513,0.0704,0.0003882535648736,0.0698921536234433,0.8175340854437735,0.59701930883699,0.6747658433764359,0.6203839365458382,0.3059053415245591,0.4132282499477526,0.5319880541684471,0.736623814612781,0.6498796582917473,0.6455044781060081,0.3144907390635584,0.0966337427544144,0.1799665276966018,0.3252458118538867,0.6046860616753338,0.0762917048878268,0.0,0.0,0.0,0.0030968534537957,0.0023894070673903,4
2004,11,0.2067510548523206,0.1285300506879072,0.0204972723004398,0.0896371238240846,0.0440156969818233,0.847696748412627,0.1493520686857376,0.8105672359083567,0.6786537074478929,0.6706587998272795,0.0148342094239619,0.0258491579906838,6,0.0001290009649272,0.0002762049440684,0.088,0.0003882535648736,0.0873586551649548,0.8137227175246236,0.4776863268043988,0.6659725152357192,0.6462679931240993,0.4652076710434338,0.2717178209945558,0.5100055424000797,0.6008155555995606,0.3965626352519737,0.8918214508012581,0.3144907390635584,0.0966337427544144,0.1799665276966018,0.3252458118538867,0.6046860616753338,0.0762917048878268,0.0,0.0,0.0,0.0022673391358147,0.0031858760898538,5
2004,11,0.2067510548523206,0.1285300506879072,0.0204972723004398,0.0896371238240846,0.0378148954720899,0.8349501716951462,0.1493520686857376,0.6347882075243667,0.7315880647380162,0.7458054354057246,0.0025462096463329,0.0078047206322536,7,0.0001393210421213,3.4525618008562354e-05,0.1056,0.0003882535648736,0.1048251567064662,0.7476614256462774,0.3817156758911139,0.722580709157559,0.7227430097249443,0.4943277346377028,0.2458500718987641,0.5059871947551333,0.5759901487706958,0.3502569230711916,0.9368475714543378,0.3144907390635584,0.0966337427544144,0.1799665276966018,0.3252458118538867,0.6046860616753338,0.0762917048878268,0.0,0.0,0.0,0.0016037276814299,0.0003982345112317,6
2004,11,0.2067510548523206,0.1285300506879072,0.0204972723004398,0.0896371238240846,0.0719363570362935,0.8379649200777344,0.1493520686857376,0.4823667017754107,0.7985003029931494,0.7492478510733562,0.004846576549055,0.0092536922940734,8,0.0001135208491359,0.0001726280900428,0.1232,0.0003882535648736,0.1222916582479777,0.6987614525791863,0.3126155767187987,0.8357267992011607,0.850117875465846,0.4754229984206839,0.2626434065561861,0.5085959047948648,0.5921067951530283,0.380318576998732,0.9076166279480996,0.3144907390635584,0.0966337427544144,0.1799665276966018,0.3252458118538867,0.6046860616753338,0.0762917048878268,0.0,0.0,0.0,0.0017696305450261,0.0019911725561586,7
2004,11,0.2067510548523206,0.1285300506879072,0.0204972723004398,0.0896371238240846,0.0883079238566161,0.8217832075471687,0.1493520686857376,0.6924889110915711,0.7932597914529467,0.7606974181176174,0.0138416001356558,0.0176365911205148,9,0.0001548011579126,0.0001381024720342,0.1408,0.0003882535648736,0.1397581597894892,0.8455689931735881,0.3596171615030181,0.7119409533081748,0.8015376303532857,0.4149397246256511,0.316371522429185,0.5169421372825145,0.6436699338612423,0.4764969750656727,0.8140959811070548,0.3144907390635584,0.0966337427544144,0.1799665276966018,0.3252458118538867,0.6046860616753338,0.0762917048878268,0.0,0.0,0.0,0.0021014362722185,0.0015929380449269,8
2004,11,0.2067510548523206,0.1285300506879072,0.0204972723004398,0.0896371238240846,0.2392659544119528,0.8081416315062597,0.1493520686857376,0.8331002930554339,0.7787051728012635,0.8956271466894421,0.0214800929525126,0.0198030640539299,10,0.0004024830105729,0.0005006214611241,0.1584,0.0003882535648736,0.1572246613310007,0.9224350477340656,0.3622625482691543,0.6258926250692902,0.7622719774893612,0.3295175597111367,0.3922531949425265,0.5287297473644514,0.7164939505169804,0.61233233028685,0.6820142398898016,0.3144907390635584,0.0966337427544144,0.1799665276966018,0.3252458118538867,0.6046860616753338,0.0762917048878268,0.0,0.0,0.0,0.0059172021349312,0.00577440041286,9
