Date,Year,Month,CD_UF,Pop0_19_UF,state_index,pred.mean,pred.uci,pred.lci
2003-04-01,2003,4,11,580275,11,9.305932531989143,10.236525785188059,8.375339278790229
2003-05-01,2003,5,11,580275,11,5.342294601697471,5.876524061867218,4.808065141527725
2003-06-01,2003,6,11,580275,11,5.514626685623196,6.066089354185515,4.963164017060876
2003-07-01,2003,7,11,580275,11,3.9636379302916724,4.360001723320839,3.5672741372625048
2003-08-01,2003,8,11,580275,11,2.412649174960148,2.6539140924561635,2.1713842574641333
2003-09-01,2003,9,11,580275,11,1.8956529231829735,2.0852182155012713,1.7060876308646764
2003-10-01,2003,10,11,580275,11,2.9296454267373226,3.2226099694110557,2.6366808840635905
2003-11-01,2003,11,11,580275,11,7.927275860583345,8.720003446641678,7.1345482745250095
2003-12-01,2003,12,11,580275,11,10.684589203394943,11.753048123734436,9.61613028305545
2004-01-01,2004,1,11,580275,11,12.75257421050364,14.027831631554006,11.477316789453278
2004-02-01,2004,2,11,580275,11,12.924906294429366,14.217396923872302,11.632415664986429
2004-03-01,2004,3,11,580275,11,10.167592951617767,11.184352246779545,9.15083365645599
2004-04-01,2004,4,11,580275,11,3.2743095945887726,3.6017405540476504,2.9468786351298957
2004-05-01,2004,5,11,580275,11,2.0679850071086983,2.2747835078195684,1.8611865063978288
2004-06-01,2004,6,11,580275,11,2.757313342811598,3.0330446770927577,2.481582008530438
2004-07-01,2004,7,11,580275,11,0.34466416785144977,0.3791305846365947,0.31019775106630476
2004-08-01,2004,8,11,580275,11,1.7233208392572488,1.8956529231829735,1.550988755331524
2004-09-01,2004,9,11,580275,11,1.378656671405799,1.5165223385463789,1.240791004265219
2004-10-01,2004,10,11,580275,11,4.997630433846021,5.497393477230624,4.49786739046142
2004-11-01,2004,11,11,580275,11,30.330446770927576,33.36349144802034,27.297402093834823
2004-12-01,2004,12,11,580275,11,46.184998492094266,50.803498341303694,41.566498642884845
2005-01-01,2005,1,11,580275,11,75.13678859161605,82.65046745077765,67.62310973245445
2005-02-01,2005,2,11,580275,11,61.00555770970661,67.10611348067727,54.90500193873595
2005-03-01,2005,3,11,580275,11,62.3842143811124,68.62263581922366,56.14579294300117
2005-04-01,2005,4,11,580275,11,21.024514238938433,23.12696566283228,18.92206281504459
2005-05-01,2005,5,11,580275,11,6.203955021326096,6.824350523458706,5.583559519193486
2005-06-01,2005,6,11,580275,11,3.2743095945887726,3.6017405540476504,2.9468786351298957
2005-07-01,2005,7,11,580275,11,2.757313342811598,3.0330446770927577,2.481582008530438
2005-08-01,2005,8,11,580275,11,2.584981258885873,2.84347938477446,2.3264831329972857
2005-09-01,2005,9,11,580275,11,1.8956529231829735,2.0852182155012713,1.7060876308646764
2005-10-01,2005,10,11,580275,11,2.0679850071086983,2.2747835078195684,1.8611865063978288
2005-11-01,2005,11,11,580275,11,9.822928783766319,10.80522166214295,8.840635905389686
2005-12-01,2005,12,11,580275,11,26.022144672784453,28.624359140062904,23.419930205506013
2006-01-01,2006,1,11,580275,11,87.54469863426823,96.29916849769506,78.79022877084141
2006-02-01,2006,2,11,580275,11,66.34785231140408,72.9826375425445,59.71306708026367
2006-03-01,2006,3,11,580275,11,17.23320839257249,18.956529231829737,15.509887553315238
2006-04-01,2006,4,11,580275,11,4.652966265994571,5.1182628925940294,4.187669639395114
2006-05-01,2006,5,11,580275,11,3.4466416785144975,3.791305846365947,3.101977510663048
2006-06-01,2006,6,11,580275,11,1.206324587480074,1.3269570462280817,1.0856921287320667
2006-07-01,2006,7,11,580275,11,0.5169962517771746,0.5686958769548921,0.4652966265994572
2006-08-01,2006,8,11,580275,11,0.5169962517771746,0.5686958769548921,0.4652966265994572
2006-09-01,2006,9,11,580275,11,0.34466416785144977,0.3791305846365947,0.31019775106630476
2006-10-01,2006,10,11,580275,11,2.9296454267373226,3.2226099694110557,2.6366808840635905
2006-11-01,2006,11,11,580275,11,3.4466416785144975,3.791305846365947,3.101977510663048
