Date,Year,Month,CD_UF,PopTotal_UF,state_index,pred.mean,pred.uci,pred.lci
2001-01-01,2001,1,11,1562409,11,42.75449002149885,47.029939023648744,38.47904101934897
2001-02-01,2001,2,11,1562409,11,17.601025083700875,19.36112759207096,15.840922575330787
2001-03-01,2001,3,11,1562409,11,11.072644870837278,12.179909357921005,9.965380383753551
2001-04-01,2001,4,11,1562409,11,5.120298206167527,5.63232802678428,4.608268385550775
2001-05-01,2001,5,11,1562409,11,6.9764063059032555,7.674046936493582,6.278765675312931
2001-06-01,2001,6,11,1562409,11,3.264190106431798,3.5906091170749788,2.937771095788619
2001-07-01,2001,7,11,1562409,11,1.6640969170044464,1.8305066087048911,1.497687225304002
2001-08-01,2001,8,11,1562409,11,1.2800745515418817,1.40808200669607,1.1520670963876938
2001-09-01,2001,9,11,1562409,11,0.704041003348035,0.7744451036828386,0.6336369030132315
2001-10-01,2001,10,11,1562409,11,2.048119282467011,2.252931210713712,1.8433073542203098
2001-11-01,2001,11,11,1562409,11,6.656387668017786,7.3220264348195645,5.990748901216008
2001-12-01,2001,12,11,1562409,11,7.488436126520009,8.237279739172012,6.739592513868008
2002-01-01,2002,1,11,1562409,11,13.440782791189758,14.784861070308736,12.096704512070783
2002-02-01,2002,2,11,1562409,11,16.640969170044464,18.30506608704891,14.976872253040018
2002-03-01,2002,3,11,1562409,11,14.272831249691981,15.700114374661181,12.845548124722786
2002-04-01,2002,4,11,1562409,11,5.376313116475903,5.913944428123494,4.838681804828314
2002-05-01,2002,5,11,1562409,11,4.22424602008821,4.646670622097031,3.801821418079389
2002-06-01,2002,6,11,1562409,11,1.536089461850258,1.6896984080352844,1.3824805156652324
2002-07-01,2002,7,11,1562409,11,1.4720857342731641,1.6192943077004804,1.3248771608458476
2002-08-01,2002,8,11,1562409,11,0.5760335481938469,0.6336369030132315,0.5184301933744622
2002-09-01,2002,9,11,1562409,11,1.8561080997357287,2.0417189097093016,1.670497289762156
2002-10-01,2002,10,11,1562409,11,4.096238564934022,4.505862421427424,3.6866147084406196
2002-11-01,2002,11,11,1562409,11,19.649144366167885,21.614058802784676,17.684229929551098
2002-12-01,2002,12,11,1562409,11,14.720857342731641,16.19294307700481,13.248771608458476
2003-01-01,2003,1,11,1562409,11,46.14668758308484,50.76135634139332,41.53201882477635
2003-02-01,2003,2,11,1562409,11,40.770374466608935,44.84741191326983,36.693337019948046
2003-03-01,2003,3,11,1562409,11,30.14575568881132,33.16033125769245,27.13118011993019
2003-04-01,2003,4,11,1562409,11,14.52884616000036,15.981730776000395,13.075961544000323
2003-05-01,2003,5,11,1562409,11,8.832514405638983,9.715765846202883,7.949262965075087
2003-06-01,2003,6,11,1562409,11,7.680447309251291,8.44849204017642,6.912402578326162
2003-07-01,2003,7,11,1562409,11,5.760335481938468,6.336369030132315,5.184301933744622
2003-08-01,2003,8,11,1562409,11,3.072178923700516,3.3793968160705687,2.764961031330465
2003-09-01,2003,9,11,1562409,11,2.4321416479295754,2.6753558127225334,2.1889274831366183
2003-10-01,2003,10,11,1562409,11,4.288249747665304,4.717074722431835,3.8594247728987736
2003-11-01,2003,11,11,1562409,11,14.0808200669607,15.488902073656773,12.67273806026463
2003-12-01,2003,12,11,1562409,11,16.384954259736087,18.023449685709696,14.746458833762478
2004-01-01,2004,1,11,1562409,11,23.93739411383319,26.33113352521651,21.54365470244987
2004-02-01,2004,2,11,1562409,11,19.201118273128227,21.12123010044105,17.281006445815404
2004-03-01,2004,3,11,1562409,11,15.552905801233864,17.10819638135725,13.997615221110479
2004-04-01,2004,4,11,1562409,11,6.2723653025552215,6.899601832810744,5.6451287722996994
2004-05-01,2004,5,11,1562409,11,3.584208744317269,3.9426296187489966,3.225787869885542
2004-06-01,2004,6,11,1562409,11,2.6241528306608575,2.8865681137269434,2.361737547594772
2004-07-01,2004,7,11,1562409,11,1.8561080997357287,2.0417189097093016,1.670497289762156
2004-08-01,2004,8,11,1562409,11,2.048119282467011,2.252931210713712,1.8433073542203098
2004-09-01,2004,9,11,1562409,11,2.4321416479295754,2.6753558127225334,2.1889274831366183
2004-10-01,2004,10,11,1562409,11,6.848398850749068,7.533238735823974,6.163558965674161
2004-11-01,2004,11,11,1562409,11,44.61059812123458,49.07165793335805,40.14953830911113
2004-12-01,2004,12,11,1562409,11,74.05231280669787,81.45754408736765,66.64708152602807
2005-01-01,2005,1,11,1562409,11,123.91121658925415,136.30233824817958,111.52009493032874
2005-02-01,2005,2,11,1562409,11,86.02100986361445,94.6231108499759,77.41890887725302
2005-03-01,2005,3,11,1562409,11,70.98013388299735,78.07814727129708,63.88212049469761
2005-04-01,2005,4,11,1562409,11,23.041341927753873,25.34547612052926,20.737207734978487
2005-05-01,2005,5,11,1562409,11,8.064469674713855,8.870916642185241,7.25802270724247
2005-06-01,2005,6,11,1562409,11,5.31230938889881,5.843540327788691,4.781078450008929
2005-07-01,2005,7,11,1562409,11,4.288249747665304,4.717074722431835,3.8594247728987736
2005-08-01,2005,8,11,1562409,11,3.008175196123422,3.3089927157357644,2.70735767651108
2005-09-01,2005,9,11,1562409,11,1.6640969170044464,1.8305066087048911,1.497687225304002
2005-10-01,2005,10,11,1562409,11,3.1361826512776108,3.449800916405372,2.8225643861498497
2005-11-01,2005,11,11,1562409,11,13.760801429075228,15.136881571982755,12.384721286167705
2005-12-01,2005,12,11,1562409,11,42.75449002149885,47.029939023648744,38.47904101934897
2006-01-01,2006,1,11,1562409,11,125.51130977868151,138.06244075654968,112.96017880081337
